Name,Price,Average Rating,No of Ratings,ImageURL,Product URL
HP 15-EH2018AU Pavilion Laptop (AMD Ryzen 5 5625U/8 GB/512 GB SSD/AMD Radeon ...,55390.00,4.7,71,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRGll3Xp0JmRpY21A4-67Evqj8Nw8ff4hnNbPn9xi3QW3i4MWo3kz2oi5kroHn0D15qPUHj3tQ4M-RPjVL6xAfJvXgixz0z&amp;usqp=CAY,https://www.google.com/url?url=https://www.amazon.in/Pavilion-5-5625U-Micro-Edge-Graphics-15-Eh2018Au/dp/B09V1F51SF%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA33N70W6CIW2GC&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECJwQ&usg=AOvVaw2sh2GTRQHL0nOn5z8Hslxj
Hp Pavilion Gaming Ryzen 5 Hexa Core Amd R5-5600h - 8 Gb/512 Gb Ssd/Windows 11 ...,59997.00,4.2,48,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQVE9igaNiDAHnr-cmYqEeB-wXHOHhlmmGl8jPjQ1qaUZSDyOTxaWjPS-B4ye_E_OqyALxx45KTxXQ0j6fV5_s7EYfjbEdA&amp;usqp=CAY,https://www.google.com/url?url=https://www.reliancedigital.in/hp-15-ec2150ax-pavilion-gaming-laptop-amd-ryzen-5-5600h-8gb-512gb-ssd-4gb-nvidia-gefroce-gtx-1650-graphics-windows-11-full-hd-39-62-cm-15-6-inch-/p/492573922&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECKsQ&usg=AOvVaw3GDISKhiSlabjAGGK6KlIy
HP Pavilion Gaming 15-ec2008AX Laptop AMD Ryzen 5 5600H 5th Gen NVIDIA GeForce ...,61500.00,4.2,48,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRjaFLGYeEu_T_ief3ZnevTb1pohm0UE-XEyUTT7wxzSEL02MKd5OoJab2-_4LkvsWo6ynPyFpbCMRBuARry_rcTp3XP2hUwQ&amp;usqp=CAY,https://www.google.com/url?url=http://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-15-ec2008ax-gaming-laptop/p/itm064ef0c9e0f91%3Fpid%3DCOMG9FSFSKCFHHK4%26lid%3DLSTCOMG9FSFSKCFHHK4CE8TOG%26marketplace%3DFLIPKART%26cmpid%3Dcontent_computer_8965229628_gmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECLoQ&usg=AOvVaw2I6YDwTcgTw33EalfViUO6
HP Pavilion 14-dv2053TU Laptop (12th Gen Core i5 / 8GB RAM / 512 GB SSD / 14 ...,62999.00,4.4,2245,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT9VZ6NVJAuHbO3f1fyr2RZaffYUosBO4p5uJgQqcUV-po6pUG7VwIN7dTnbhuEP4Ax6POdSchVirwFn4Gak7ISA846i9me&amp;usqp=CAY,https://www.google.com/url?url=https://www.hp.com/in-en/shop/hp-pavilion-laptop-14-dv2053tu-6k9c6pa.html&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECMkQ&usg=AOvVaw3W4dgsCcE6gFIG7OcYOlwj
Hp Pavilion Intel Core I5 12th Gen - 16 Gb/512 Gb Ssd/Windows 11 Home Eg2035tu ...,73990.00,4.7,71,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTjRkO-NRSLpv9wIqrRotHyMghWpyVbhdrOuBiLe47RS76hPovCKPMgkYxcWP6EI0VuQjyTXBgCfkOH8XlOcJIJc5DlaJIM&amp;usqp=CAY,https://www.google.com/url?url=https://www.croma.com/hp-pavilion-15-eg2035tu-intel-core-i5-12th-gen-15-6-inch-16gb-512gb-windows-11-ms-office-2021-intel-iris-xe-graphics-fhd-ips-display-fog-blue-6d4k7pa-acj-/p/252126%3Fsrsltid%3DAfAwrE4lMXxaw79ZAq8NY6Wfrlx_aGimCF9cRbc5eWA1bYRVQE4Y0eRxoY8&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECNgQ&usg=AOvVaw24Dw7zymgGvSFl9qc2_yfC
"HP Pavilion 15, Ryzen 5- 8GB/512GB SSD 15.6-inch Laptop",57990.00,4.2,189,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSVssi2fd70pp7r5KpDTad9tYUbjBDxwc-2nMvkJYpSGyjLWzVIhy4bYIkrtsy9NmMB82DHelhQ0aId8-fiXeE6NKqD2jIK&amp;usqp=CAY,https://www.google.com/url?url=https://shop.gadgetsnow.com/laptops/hp-pavilion-15-eh1101au-laptop-amd-ryzen-5-5500u-amd-radeon-8gb-512gb-ssd-windows-10/10041/p_G304066&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECOcQ&usg=AOvVaw2XKKBPAbtm9qkqnQbByZEc
HP Pavilion Laptop 14-ec1005AU (AMD Ryzen 5 / 16 GB RAM/ 512 GB SSD/ 14 inch ( 35 ...,53808.00,Non,0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTm4cAoFd-A1wPTrWvXxsOz-GAvd4I_Gv_MSY2qMivSH7zvdt8XWBexhzmYdiW2xqm0NMalAhclAfH_WKtulvmqpx9_Phoa&amp;usqp=CAY,https://www.google.com/url?url=https://www.shoptheworld.in/p/b0bs1bvrzh-hp-pavilion-14-amd-ryzen-5-5625u-14-inch-35-6cm-ips-micro-edge-fhd-laptop-16gb-ram-512gb-ssd-amd-radeon-graphics-win-11-mso-2021-backlit-keyboard-b-o-fpr-alexa-built-in-1-41-kg-14-ec1005a%3Fsrsltid%3DAfAwrE4i0vyrpyE_QAaNmHWSIJM7Qk6VQhzV6g0JE7cuPHrlf4j9kI-cqwc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECPUQ&usg=AOvVaw1oEwJzbPorLXetESHq29n6
HP Pavilion AMD Ryzen 7 5800H 15.6 inches(39.6cm) FHD Gaming Laptop (16GB/512GB ...,75990.00,Non,0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQScrmpHXB57V22ccAcCWeKa6awtTdqE-W0hZR-MlhcDTVjdWfkL_ZWyQjjz8QQ0htqWOmxWUhKXn7HT63qH0Py3b9F_Btbrg&amp;usqp=CAY,https://www.google.com/url?url=https://www.shopsy.in/hp-pavilion-gaming-ryzen-7-octa-core-amd-r7-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-ec2146ax-laptop/p/itm585a596ffa1af%3Fpid%3DCOMG92FX5XDCS9DW%26lid%3DLSTCOMG92FX5XDCS9DWLLCEFD%26marketplace%3DFLIPKART&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECIMR&usg=AOvVaw1lz6J5l1qJTfNYFJyXH9Uv
HP Pavilion 14-ec1003AU Laptop (AMD Ryzen 5 / 8 GB RAM/ 512 GB SSD/ 14 inch ( 35 ...,52999.00,Non,0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR1XYN4j4KgrP6XJKpIyZmhFuj3zoFR-7cPFeobg3Pq2MO6ht8SJx7bVbJlEW3A-vNmgjgAmnDjIXhNS-JqB0fa1-EJkuLUsw&amp;usqp=CAY,https://www.google.com/url?url=https://kndigitalstore.in/product/hp-pavilion-14-amd-ryzen-5-5625u-8gb-ram-512gb-ssd-14inches-35-6-cm-fhd-ips-micro-edge-display-radeon-graphics-alexa-bo-audio-fast-charge-win11-home-ms-office-2021-14-ec1003au-windows-11-home/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECJER&usg=AOvVaw3J2_7jTwaLUfPbBw410Vte
Non,22999.00,4.4,10168,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRTcFTEDQBj5iu_1zrkcU6wyFnGTPxfRmpemJ0F10dUvNpVwz7Mqh7NcylfUgHaiyq28cFH-QEQ6gDtMO5q-3WGKCtGdKud&amp;usqp=CAY,https://www.google.com/url?url=https://buy.budli.in/products/hp-pavilion-15-i5-8th-gen-2tb-hdd%3Fvariant%3D39893375942719%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECKMR&usg=AOvVaw1uT4AaqkhEsbH8T4m3kbnk
Non,68286.00,4.2,12460,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSr9E4tKOFibSez7MlofGHu8e53p_VigkoJ8Dl3uXt1A59r8UTkJgfzM7NZM79P9XNofgD825DLJBrf5WFSjYi7Uc9XmoT2&amp;usqp=CAY,https://www.google.com/url?url=https://www.shoptheworld.in/p/b009hpgn00-hp-pavilion-dm1-4310nr-notebook-pc-c2k41ua-11-6-led-notebook-amd-e2-1800-1-7ghz-4gb-ddr3-500gb-hdd-amd-radeon-hd-7340-windows-1%3Fsrsltid%3DAfAwrE4gkj_ZxubhXAvH5dJd6YqcKzjh8-3i2fiegVjjHM0xqD8at1aig1g&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECLMR&usg=AOvVaw13c4mwzLaHKw-Ut13e-AJK
Non,51994.00,4.4,1890,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTpXEsGKThSXQb5a_A7cGWQK-px88do6OuSFkVm3oiQ14SEdAppfi2j-oGGaiQfC49SKgT6kylU_fLNl7EGBTngLRQv1lqh&amp;usqp=CAY,https://www.google.com/url?url=https://www.vijaysales.com/hp-pavilion-x360-convertible-14-dy0190tu-laptop-11th-gen-core-i3-8gb-ram-256-gb-ssd-14-inch-35-6-cm-display-intel-uhd-graphics-wind-11-mso/19453&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECMIR&usg=AOvVaw3IXa3sZU2dr_1lacG3p-Kw
Non,62999.00,4.4,2245,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT9VZ6NVJAuHbO3f1fyr2RZaffYUosBO4p5uJgQqcUV-po6pUG7VwIN7dTnbhuEP4Ax6POdSchVirwFn4Gak7ISA846i9me&amp;usqp=CAY,https://www.google.com/url?url=https://www.hp.com/in-en/shop/hp-pavilion-laptop-14-dv2053tu-6k9c6pa.html&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECNIR&usg=AOvVaw0iEpzvgYCS8KX7wcnA-Szg
HP Pavilion 15-eh2025AU Laptop (AMD Ryzen 5 Processor / 8GB RAM / 512 SSD / 15.6 ...,57499.00,4.7,71,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSU28bj6s5wwpNXKGUlgffzKCc-1f-a3Rnt26j-nh1CsMEwYD4gYlFZve7q3E2Pu9ASSsJNxvKrGJvHjwAaV5a-g0KGE4BdwmWwwczmcsbnXzRtVFYfuxCStHiN84E&amp;usqp=CAY,https://www.google.com/url?url=https://www.reliancedigital.in/hp-15-eh2025au-laptop-amd-ryzen-5-5625u-8-gb-512-gb-ssd-amd-radeon-graphics-windows-11-mso-full-hd-39-6-cm-15-6-inch-/p/492849795&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECOIR&usg=AOvVaw18JaLgtDGxYj7dMWcn50gu
Hp Pavilion Intel Core I7 12th Gen - 16 Gb/1 Tb Ssd/Windows 11 Home 15-eg2039tu ...,92199.00,4.4,2245,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQAqPee1HADC33tA3CWOLhDulHUkGiZKieb4MkUyPqh36dwjAqnESLSvPpUoixPwNH8WciqA4VKkUdB4wWFgjoPgZix88MzmvOOOPhD&amp;usqp=CAY,https://www.google.com/url?url=https://www.jiomart.com/p/electronics/hp-pavilion-15-eg2039tu-laptop-12th-gen-intel-core-i7-1260p-16-gb-1-tb-ssd-iris-xe-graphics-windows-11-mso-full-hd-39-6-cm-15-6-inch/592242768%3Fsource%3Dshoppingads&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjKofez-_H9AhXGnGoFHfFUBbwQguUECPAR&usg=AOvVaw2Ci-yVgh8TTHQpcgmLCsGu
